2.1484375,512
3.125,512
6.640625,512
7.03125,512
10.15625,512
13.28125,512
14.0625,512
16.40625,512
14.6484375,512
17.578125,512
14.84375,512
18.1640625,512
17.578125,512
14.84375,512
16.9921875,512
16.796875,512
16.2109375,512
18.9453125,512
17.578125,512
20.703125,512
17.1875,512
19.921875,512
19.7265625,512
21.6796875,512
19.53125,512
20.703125,512
22.8515625,512
20.5078125,512
20.3125,512
23.046875,512
20.1171875,512
18.75,512
17.96875,512
20.3125,512
21.09375,512
21.484375,512
20.1171875,512
21.2890625,512
23.4375,512
24.0234375,512
25.1953125,512
23.828125,512
23.2421875,512
25.5859375,512
23.828125,512
25.390625,512
25.1953125,512
23.6328125,512
23.2421875,512
23.828125,512
23.828125,512
27.734375,512
23.046875,512
25.9765625,512
26.5625,512
20.703125,512
25,512
26.7578125,512
27.34375,512
26.171875,512
27.1484375,512
26.5625,512
25.9765625,512
27.1484375,512
28.125,512
26.171875,512
24.609375,512
26.953125,512
27.34375,512
27.9296875,512
29.4921875,512
28.515625,512
26.5625,512
24.0234375,512
26.3671875,512
28.90625,512
26.953125,512
25.9765625,512
28.125,512
25.78125,512
29.6875,512
28.125,512
30.078125,512
26.171875,512
28.125,512
30.46875,512
29.296875,512
31.640625,512
28.125,512
28.90625,512
28.3203125,512
27.1484375,512
27.734375,512
31.8359375,512
28.515625,512
30.2734375,512
27.1484375,512
28.90625,512
26.953125,512
29.296875,512
32.8125,512
29.1015625,512
28.515625,512
29.6875,512
30.859375,512
28.3203125,512
32.6171875,512
34.5703125,512
28.90625,512
32.8125,512
30.46875,512
29.1015625,512
29.6875,512
25,512
36.1328125,512
30.46875,512
27.1484375,512
27.734375,512
28.3203125,512
30.859375,512
30.859375,512
32.8125,512
29.296875,512
